location_id,prediction_period_start,admin1_region,admin2_zone,admin3_woreda,risk_probability,risk_prediction,risk_bucket,alert_role,alert_level,source_zone_high_risk_count,source_zone_very_high_count,source_zone_max_risk_probability,source_zone_top_source_woreda,alert_reason
ETH:ET042202,2026-01-01,Oromia,East Borena,LIBEN,0.79848295,0,very_high,high_risk_source,critical,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:ET080209,2026-01-01,South Ethiopia,Gamo,Dita,0.79427826,0,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:c3da0233435b,2026-01-01,Oromia,West Shoa,Cheliya,0.7930984,0,very_high,high_risk_source,critical,26,1,0.7930984,Cheliya,This woreda is high or very-high risk for the next prediction month.
ETH:2effd4fd30ea,2026-01-01,South Ethiopia,Gardula,Derashe,0.7919331,0,very_high,high_risk_source,critical,1,1,0.7919331,Derashe,This woreda is high or very-high risk for the next prediction month.
ETH:ET081205,2026-01-01,South Ethiopia,South Omo,Nyngatom,0.79145825,0,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:ET080205,2026-01-01,South Ethiopia,Gamo,Boreda,0.7911853,0,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:48dd4f29ffc4,2026-01-01,South Ethiopia,Kore,Gorika,0.789841,0,very_high,high_risk_source,critical,2,2,0.789841,Gorika,This woreda is high or very-high risk for the next prediction month.
ETH:ET041701,2026-01-01,Oromia,West Arsi,Siraro,0.78760237,0,very_high,high_risk_source,critical,17,2,0.78760237,Siraro,This woreda is high or very-high risk for the next prediction month.
ETH:ET041411,2026-01-01,Oromia,Guji,Ana Sora,0.78603554,0,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:ET081108,2026-01-01,South Ethiopia,Gedeo,Churso,0.785926,0,very_high,high_risk_source,critical,7,3,0.785926,Churso,This woreda is high or very-high risk for the next prediction month.
ETH:8577255090d1,2026-01-01,South Ethiopia,Gamo,Gerese,0.78343004,0,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:ET041707,2026-01-01,Oromia,West Arsi,DODOLA,0.7831117,0,very_high,high_risk_source,critical,17,2,0.78760237,Siraro,This woreda is high or very-high risk for the next prediction month.
ETH:c849a34bb186,2026-01-01,Amhara,C Gonder,East Belesa,0.78297824,0,very_high,high_risk_source,critical,7,1,0.78297824,East Belesa,This woreda is high or very-high risk for the next prediction month.
ETH:ET041410,2026-01-01,Oromia,Guji,Girja /Harenfema,0.7812512,0,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:36a923409693,2026-01-01,Amhara,South Gonder,Woreta town,0.7791149,0,very_high,high_risk_source,critical,16,1,0.7791149,Woreta town,This woreda is high or very-high risk for the next prediction month.
ETH:ET030301,2026-01-01,Amhara,North Wello,Bugna,0.7784336,0,very_high,high_risk_source,critical,13,1,0.7784336,Bugna,This woreda is high or very-high risk for the next prediction month.
ETH:ET081204,2026-01-01,South Ethiopia,South Omo,Malie,0.7779183,0,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:c63ba9003d6f,2026-01-01,South Ethiopia,Goffa,Zala,0.77694553,0,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
ETH:ET081112,2026-01-01,South Ethiopia,Gedeo,Chelelektu town,0.7755687,0,very_high,high_risk_source,critical,7,3,0.785926,Churso,This woreda is high or very-high risk for the next prediction month.
ETH:ET080201,2026-01-01,South Ethiopia,Gamo,Arba Minch town,0.7751703,0,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:f12c0d254a68,2026-01-01,South Ethiopia,Kore,Kelle Town,0.77478284,0,very_high,high_risk_source,critical,2,2,0.789841,Gorika,This woreda is high or very-high risk for the next prediction month.
ETH:ET050804,2026-01-01,Somali,Afder,Elkare /Serer,0.7735397,0,very_high,high_risk_source,critical,11,2,0.7735397,Elkare /Serer,This woreda is high or very-high risk for the next prediction month.
ETH:ET041809,2026-01-01,Oromia,Kelem Wellega,Gidami,0.77339715,0,very_high,high_risk_source,critical,17,1,0.77339715,Gidami,This woreda is high or very-high risk for the next prediction month.
ETH:ET050304,2026-01-01,Somali,Jarar,Gashamo,0.77285266,0,very_high,high_risk_source,critical,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:ET080506,2026-01-01,South Ethiopia,Ari,Jinka Town,0.7719978,0,very_high,high_risk_source,critical,5,5,0.8283605,Woba Ari,This woreda is high or very-high risk for the next prediction month.
ETH:389b9b2ba735,2026-01-01,Amhara,Central Gonder,Takusa,0.77077955,0,very_high,high_risk_source,critical,14,3,0.85815537,Wegera,This woreda is high or very-high risk for the next prediction month.
ETH:ET040198,2026-01-01,Oromia,West Wellega,Mendi Town,0.7688439,0,very_high,high_risk_source,critical,19,1,0.7688439,Mendi Town,This woreda is high or very-high risk for the next prediction month.
ETH:ET041212,2026-01-01,Oromia,Borena,Teltale,0.76752776,0,very_high,high_risk_source,critical,17,2,0.76752776,Teltale,This woreda is high or very-high risk for the next prediction month.
ETH:4db7e2a16cd1,2026-01-01,Amhara,North Gojjam,South Achefer,0.76734734,0,very_high,high_risk_source,critical,5,1,0.76734734,South Achefer,This woreda is high or very-high risk for the next prediction month.
ETH:728e0694d328,2026-01-01,Oromia,East Shoa,Adama,0.7663057,0,very_high,high_risk_source,critical,16,1,0.7663057,Adama,This woreda is high or very-high risk for the next prediction month.
ETH:ET081102,2026-01-01,South Ethiopia,Gedeo,YIRGACHEFE,0.764813,0,very_high,high_risk_source,critical,7,3,0.785926,Churso,This woreda is high or very-high risk for the next prediction month.
ETH:ET080903,2026-01-01,South Ethiopia,Konso,Karat town,0.7631941,0,very_high,high_risk_source,critical,4,4,0.87910646,Karat Zuria,This woreda is high or very-high risk for the next prediction month.
ETH:4d22b2cc0af8,2026-01-01,Amhara,Bahir Dar town,Bahir Dar town,0.76299757,0,very_high,high_risk_source,critical,1,1,0.76299757,Bahir Dar town,This woreda is high or very-high risk for the next prediction month.
ETH:ET042203,2026-01-01,Oromia,East Borena,Meda Welabu,0.759696,0,very_high,high_risk_source,critical,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:ET050808,2026-01-01,Somali,Afder,Dolobay,0.7536333,0,very_high,high_risk_source,critical,11,2,0.7735397,Elkare /Serer,This woreda is high or very-high risk for the next prediction month.
ETH:2f77c795c3ce,2026-01-01,Oromia,East Borena,Gumi Eldallo,0.75302154,0,very_high,high_risk_source,critical,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:09e9b511e04b,2026-01-01,Amhara,East Gojjam,Baso Liben,0.75261146,0,very_high,high_risk_source,critical,16,2,0.75261146,Baso Liben,This woreda is high or very-high risk for the next prediction month.
ETH:a4f8eae6cda8,2026-01-01,Oromia,Guji,Liben,0.75188476,0,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:ET041290,2026-01-01,Oromia,Borena,Guchi,0.7517348,0,very_high,high_risk_source,critical,17,2,0.76752776,Teltale,This woreda is high or very-high risk for the next prediction month.
ETH:633e87bf20d0,2026-01-01,Amhara,East Gojjam,Guzamn,0.75158817,0,very_high,high_risk_source,critical,16,2,0.75261146,Baso Liben,This woreda is high or very-high risk for the next prediction month.
ETH:6ab7ece61d24,2026-01-01,Benishangul Gumuz,Kemashi,Yaso/Zayi,0.75132024,0,very_high,high_risk_source,critical,5,1,0.75132024,Yaso/Zayi,This woreda is high or very-high risk for the next prediction month.
ETH:afea71a8e4f5,2026-01-01,Somali,Fafan,Jigjiga Zuria,0.75047886,0,very_high,high_risk_source,critical,24,2,0.8036948,Harshin,This woreda is high or very-high risk for the next prediction month.
ETH:9fd59e10593a,2026-01-01,Amhara,Bahir Dar City,Bahir Dar town,0.7504364,0,very_high,high_risk_source,critical,2,1,0.7504364,Bahir Dar town,This woreda is high or very-high risk for the next prediction month.
ETH:ET041807,2026-01-01,Oromia,Kelem Wellega,Anfilo,0.74973476,0,high,high_risk_source,high,17,1,0.77339715,Gidami,This woreda is high or very-high risk for the next prediction month.
ETH:ET050302,2026-01-01,Somali,Jarar,Degehabur,0.7496401,0,high,high_risk_source,high,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:79e8ab8fdaaf,2026-01-01,Amhara,Woldia Town,Woldia Town,0.74954414,0,high,high_risk_source,high,1,0,0.74954414,Woldia Town,This woreda is high or very-high risk for the next prediction month.
ETH:7d73ca8ceec6,2026-01-01,Sidama,Northern Sidama,Borricha,0.7484374,0,high,high_risk_source,high,11,0,0.7484374,Borricha,This woreda is high or very-high risk for the next prediction month.
ETH:ET051003,2026-01-01,Somali,Nogob,Garbo,0.74749696,0,high,high_risk_source,high,6,0,0.74749696,Garbo,This woreda is high or very-high risk for the next prediction month.
ETH:ET042207,2026-01-01,Oromia,East Borena,Arero,0.74689656,0,high,high_risk_source,high,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:7aeaffed608c,2026-01-01,Somali,Shabele,Kelafo,0.74620366,0,high,high_risk_source,high,10,0,0.74620366,Kelafo,This woreda is high or very-high risk for the next prediction month.
ETH:ET051095,2026-01-01,Somali,Nogob,Horshagah,0.74572456,0,high,high_risk_source,high,6,0,0.74749696,Garbo,This woreda is high or very-high risk for the next prediction month.
ETH:5d82bae7f8d7,2026-01-01,Somali,Liben,Guradamole,0.7438104,0,high,high_risk_source,high,9,0,0.7438104,Guradamole,This woreda is high or very-high risk for the next prediction month.
ETH:f5090a6e7909,2026-01-01,Amhara,North Gonder,Janamora,0.74364644,0,high,high_risk_source,high,7,0,0.74364644,Janamora,This woreda is high or very-high risk for the next prediction month.
ETH:ET050503,2026-01-01,Somali,Korahe,Shilabo,0.74198145,0,high,high_risk_source,high,7,0,0.74198145,Shilabo,This woreda is high or very-high risk for the next prediction month.
ETH:ET050598,2026-01-01,Somali,Korahe,El-Ogaden,0.74085385,0,high,high_risk_source,high,7,0,0.74198145,Shilabo,This woreda is high or very-high risk for the next prediction month.
ETH:53fafab20ec1,2026-01-01,Somali,Fafan,Qabribayah,0.739875,0,high,high_risk_source,high,24,2,0.8036948,Harshin,This woreda is high or very-high risk for the next prediction month.
ETH:93906070450c,2026-01-01,Amhara,Oromiya,Kemisie town,0.73979366,0,high,high_risk_source,high,14,1,0.8324774,Jilye Tumuga,This woreda is high or very-high risk for the next prediction month.
ETH:4add7fd560d2,2026-01-01,Amhara,C Gonder,Chilga,0.73893636,0,high,high_risk_source,high,7,1,0.78297824,East Belesa,This woreda is high or very-high risk for the next prediction month.
ETH:ab7f0fc4bc52,2026-01-01,Gambella,Nuer,Jikawo,0.7386908,0,high,high_risk_source,high,4,0,0.7386908,Jikawo,This woreda is high or very-high risk for the next prediction month.
ETH:ET060201,2026-01-01,Benishangul Gumuz,Metekel,Dangur,0.73803574,0,high,high_risk_source,high,10,0,0.73803574,Dangur,This woreda is high or very-high risk for the next prediction month.
ETH:ET050290,2026-01-01,Somali,Fafan,Goljano,0.7378373,0,high,high_risk_source,high,24,2,0.8036948,Harshin,This woreda is high or very-high risk for the next prediction month.
ETH:ET030310,2026-01-01,Amhara,North Wello,Lasta,0.7377787,0,high,high_risk_source,high,13,1,0.7784336,Bugna,This woreda is high or very-high risk for the next prediction month.
ETH:ET050898,2026-01-01,Somali,Afder,Kohle /Qoxle,0.73672247,0,high,high_risk_source,high,11,2,0.7735397,Elkare /Serer,This woreda is high or very-high risk for the next prediction month.
ETH:ET040209,2026-01-01,Oromia,East Wellega,Sibu Sire,0.73520285,0,high,high_risk_source,high,18,0,0.73520285,Sibu Sire,This woreda is high or very-high risk for the next prediction month.
ETH:ET050394,2026-01-01,Somali,Jarar,Burqod,0.7347187,0,high,high_risk_source,high,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:7a132d316598,2026-01-01,Amhara,East Gojjam,Awabel,0.73355955,0,high,high_risk_source,high,16,2,0.75261146,Baso Liben,This woreda is high or very-high risk for the next prediction month.
ETH:c5bb922b8de2,2026-01-01,Oromia,West Shoa,Cobi,0.7334552,0,high,high_risk_source,high,26,1,0.7930984,Cheliya,This woreda is high or very-high risk for the next prediction month.
ETH:878375456b15,2026-01-01,Amhara,South Gonder,Libokemekem,0.73340535,0,high,high_risk_source,high,16,1,0.7791149,Woreta town,This woreda is high or very-high risk for the next prediction month.
ETH:444dc810bf72,2026-01-01,Oromia,West Shoa,Toke Kutaye,0.7334046,0,high,high_risk_source,high,26,1,0.7930984,Cheliya,This woreda is high or very-high risk for the next prediction month.
ETH:ET081107,2026-01-01,South Ethiopia,Gedeo,Rape,0.7326199,0,high,high_risk_source,high,7,3,0.785926,Churso,This woreda is high or very-high risk for the next prediction month.
ETH:ET042204,2026-01-01,Oromia,East Borena,West Welabu,0.7325219,0,high,high_risk_source,high,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:ET041223,2026-01-01,Oromia,Borena,Gomole,0.7323889,0,high,high_risk_source,high,17,2,0.76752776,Teltale,This woreda is high or very-high risk for the next prediction month.
ETH:ET041402,2026-01-01,Oromia,Guji,Bore,0.73191714,0,high,high_risk_source,high,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:f9a36c3ca851,2026-01-01,Amhara,Wag Himra,Dehana,0.7318248,0,high,high_risk_source,high,10,0,0.7318248,Dehana,This woreda is high or very-high risk for the next prediction month.
ETH:6c9718d53ae4,2026-01-01,Amhara,West Gonder,Metema,0.73113936,0,high,high_risk_source,high,5,0,0.73113936,Metema,This woreda is high or very-high risk for the next prediction month.
ETH:28b32c75da66,2026-01-01,Oromia,Nekemte Town,Nekemte Town,0.7308945,0,high,high_risk_source,high,1,0,0.7308945,Nekemte Town,This woreda is high or very-high risk for the next prediction month.
ETH:92f91a6501ed,2026-01-01,Somali,Nogob,Duhun,0.73027205,0,high,high_risk_source,high,6,0,0.74749696,Garbo,This woreda is high or very-high risk for the next prediction month.
ETH:ET041513,2026-01-01,Oromia,West Guji,Abaya,0.7302458,0,high,high_risk_source,high,8,1,0.9748116,Gelana (West Guji),This woreda is high or very-high risk for the next prediction month.
ETH:ET050382,2026-01-01,Somali,Jarar,Yocale,0.72981006,0,high,high_risk_source,high,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:ET050806,2026-01-01,Somali,Afder,Hargele,0.7296881,0,high,high_risk_source,high,11,2,0.7735397,Elkare /Serer,This woreda is high or very-high risk for the next prediction month.
ETH:f39eaf6824f9,2026-01-01,South West Ethiopia,Dawro,Disa,0.7287616,0,high,high_risk_source,high,12,0,0.7287616,Disa,This woreda is high or very-high risk for the next prediction month.
ETH:97e43b9d413f,2026-01-01,Oromia,Guji,Goro Dola,0.7263923,0,high,high_risk_source,high,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:ET060202,2026-01-01,Benishangul Gumuz,Metekel,Guba,0.7255809,0,high,high_risk_source,high,10,0,0.73803574,Dangur,This woreda is high or very-high risk for the next prediction month.
ETH:ET050399,2026-01-01,Somali,Jarar,DIG,0.72557664,0,high,high_risk_source,high,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:ET050402,2026-01-01,Somali,Erer,Fik,0.72534233,0,high,high_risk_source,high,6,0,0.72534233,Fik,This woreda is high or very-high risk for the next prediction month.
ETH:6678abcd0d2f,2026-01-01,Oromia,Kelem Wellega,Gawo Kebe/Dawo kebe,0.7253058,0,high,high_risk_source,high,17,1,0.77339715,Gidami,This woreda is high or very-high risk for the next prediction month.
ETH:ET041115,2026-01-01,Oromia,Bale,Gura Damole,0.72530395,0,high,high_risk_source,high,18,2,0.98416394,Goro (Bale),This woreda is high or very-high risk for the next prediction month.
ETH:9a09fb0ab30e,2026-01-01,Oromia,E Harerghe,Chinaksen,0.7248752,0,high,high_risk_source,high,17,0,0.7248752,Chinaksen,This woreda is high or very-high risk for the next prediction month.
ETH:ET042104,2026-01-01,Oromia,East Bale,Rayitu,0.7246736,0,high,high_risk_source,high,8,0,0.7246736,Rayitu,This woreda is high or very-high risk for the next prediction month.
ETH:03623d9bc49e,2026-01-01,Oromia,Bishoftu town,Bishoftu town,0.7233704,0,high,high_risk_source,high,1,0,0.7233704,Bishoftu town,This woreda is high or very-high risk for the next prediction month.
ETH:ET030906,2026-01-01,Amhara,Awi,Jawi,0.72336924,0,high,high_risk_source,high,16,0,0.72336924,Jawi,This woreda is high or very-high risk for the next prediction month.
ETH:57ffaf8a4d7c,2026-01-01,Amhara,South Gonder,Debre Tabor town,0.72119594,0,high,high_risk_source,high,16,1,0.7791149,Woreta town,This woreda is high or very-high risk for the next prediction month.
ETH:3656fa41ee82,2026-01-01,Sidama,Eastern Sidama,Hoko,0.72097254,0,high,high_risk_source,high,10,0,0.72097254,Hoko,This woreda is high or very-high risk for the next prediction month.
ETH:c4848883b82b,2026-01-01,Amhara,W Gojjam,North Achefer,0.72052395,0,high,high_risk_source,high,14,0,0.72052395,North Achefer,This woreda is high or very-high risk for the next prediction month.
ETH:82afa75f195a,2026-01-01,South Ethiopia,Burji,Burji rural,0.72032386,0,high,high_risk_source,high,1,0,0.72032386,Burji rural,This woreda is high or very-high risk for the next prediction month.
ETH:ET042103,2026-01-01,Oromia,East Bale,GINIR,0.7202403,0,high,high_risk_source,high,8,0,0.7246736,Rayitu,This woreda is high or very-high risk for the next prediction month.
ETH:ET050102,2026-01-01,Somali,Siti,Dembel,0.719128,0,high,high_risk_source,high,10,0,0.719128,Dembel,This woreda is high or very-high risk for the next prediction month.
ETH:ET081105,2026-01-01,South Ethiopia,Gedeo,Dila Zuria,0.7190076,0,high,high_risk_source,high,7,3,0.785926,Churso,This woreda is high or very-high risk for the next prediction month.
ETH:ET042105,2026-01-01,Oromia,East Bale,Seweyna,0.71838754,0,high,high_risk_source,high,8,0,0.7246736,Rayitu,This woreda is high or very-high risk for the next prediction month.
ETH:ET050395,2026-01-01,Somali,Jarar,Ararso,0.7183168,0,high,high_risk_source,high,15,1,0.77285266,Gashamo,This woreda is high or very-high risk for the next prediction month.
ETH:6d3b40d3848d,2026-01-01,Oromia,East Shoa,Dugda,0.71801436,0,high,high_risk_source,high,16,1,0.7663057,Adama,This woreda is high or very-high risk for the next prediction month.
ETH:ET060203,2026-01-01,Benishangul Gumuz,Metekel,Wembera,0.71796596,0,high,high_risk_source,high,10,0,0.73803574,Dangur,This woreda is high or very-high risk for the next prediction month.
ETH:2795c93c270e,2026-01-01,Oromia,Bale,Dawe Qachen,0.7179534,0,high,high_risk_source,high,18,2,0.98416394,Goro (Bale),This woreda is high or very-high risk for the next prediction month.
ETH:b5433e58d743,2026-01-01,Oromia,Woliso town,Woliso town,0.7165364,0,high,high_risk_source,high,1,0,0.7165364,Woliso town,This woreda is high or very-high risk for the next prediction month.
ETH:687d9e830cf5,2026-01-01,Oromia,E Harerghe,Kombolchaa,0.7156016,0,high,high_risk_source,high,17,0,0.7248752,Chinaksen,This woreda is high or very-high risk for the next prediction month.
ETH:2c71dbd6fff1,2026-01-01,Benishangul Gumuz,Kemashi,Kamashi,0.7153461,0,high,high_risk_source,high,5,1,0.75132024,Yaso/Zayi,This woreda is high or very-high risk for the next prediction month.
ETH:7bcef8881066,2026-01-01,Somali,Korahe,Kebridahar Council,0.7151283,0,high,high_risk_source,high,7,0,0.74198145,Shilabo,This woreda is high or very-high risk for the next prediction month.
ETH:9fce06a1560a,2026-01-01,Amhara,W Gojjam,Mecha South,0.7149984,0,high,high_risk_source,high,14,0,0.72052395,North Achefer,This woreda is high or very-high risk for the next prediction month.
