feature,importance,importance_share,feature_family
food_insecurity_phase_proxy,0.004730435,0.004730435,stress_proxy
admin2_zone_East Harerghe,0.004715924,0.004715924,zone
admin2_zone_Sidama,0.004711685,0.004711685,zone
lab_confirmed_cases,0.0047039385,0.0047039385,other
female_confirmed_cases,0.004703872,0.004703872,other
admin2_zone_Yeka,0.004643157,0.004643157,zone
admin2_zone_Shabele,0.004555764,0.004555764,zone
admin1_region_South West Ethiopia,0.0044824216,0.0044824216,region
admin2_zone_Southern,0.0043835035,0.0043835035,zone
admin2_zone_Basketo,0.004244369,0.004244369,zone
admin2_zone_West Guji,0.004233859,0.004233859,zone
admin2_zone_W Wellega,0.0042198827,0.0042198827,zone
admin2_zone_North Shewa,0.004142891,0.004142891,zone
admin2_zone_Amaro Special Woreda,0.0041344226,0.0041344226,zone
admin2_zone_GUJI,0.004071459,0.004071459,zone
admin2_zone_Western,0.004021419,0.004021419,zone
admin2_zone_East Borena,0.0040091374,0.0040091374,zone
conflict_events_proxy,0.004009036,0.004009036,stress_proxy
admin2_zone_Liben,0.0040049762,0.0040049762,zone
admin2_zone_North Shoa,0.0039541447,0.0039541447,zone
admin2_zone_North Gonder,0.003922265,0.003922265,zone
admin2_zone_North Shewa (AM),0.003907306,0.003907306,zone
admin2_zone_W Shoa,0.0039012814,0.0039012814,zone
zero_dose_confirmed_cases,0.003824893,0.003824893,other
admin2_zone_W Arsi,0.0037628615,0.0037628615,zone
admin2_zone_East Wellega,0.0037249113,0.0037249113,zone
admin2_zone_Silite,0.0036012635,0.0036012635,zone
ipc_scenario_priority,0.003572867,0.003572867,other
admin2_zone_N Shewa,0.0035681434,0.0035681434,zone
admin2_zone_S Wello,0.0034792123,0.0034792123,zone
admin2_zone_N Shoa,0.0034302413,0.0034302413,zone
admin2_zone_E Wellega,0.0034238657,0.0034238657,zone
admin2_zone_South Omo,0.003400798,0.003400798,zone
external_monthly_mean_log_cases,0.0033237552,0.0033237552,external_prior
admin2_zone_Siti,0.0033039264,0.0033039264,zone
admin2_zone_South Gonder,0.0032613876,0.0032613876,zone
admin2_zone_Asossa,0.003236417,0.003236417,zone
admin2_zone_S Gonder,0.0032299766,0.0032299766,zone
admin2_zone_Finfine Zuria,0.0031995731,0.0031995731,zone
admin2_zone_Arsi,0.0031527781,0.0031527781,zone
admin2_zone_Kefa,0.0031284294,0.0031284294,zone
admin2_zone_Shaggar City,0.0029954966,0.0029954966,zone
zero_dose_share_confirmed,0.0029581536,0.0029581536,other
admin2_zone_South West Shewa,0.0029524027,0.0029524027,zone
admin2_zone_SW Shoa,0.0028177,0.0028177,zone
target_cases_lag_3,0.0025264497,0.0025264497,lagged_outbreak_signal
admin2_zone_Kembata Tembaro,0.002513508,0.002513508,zone
admin1_region_Hareri,0.0021758026,0.0021758026,region
target_cases_lag_2,0.0017089198,0.0017089198,lagged_outbreak_signal
admin1_region_Benishangul Gumuz,0.0016779215,0.0016779215,region
admin2_zone_Bale,0.0015724816,0.0015724816,zone
discarded_records,0.0015659078,0.0015659078,other
male_confirmed_cases,0.0008710943,0.0008710943,other
admin2_zone_Dawa,0.00076294155,0.00076294155,zone
vaccinated_confirmed_cases,0.0006676701,0.0006676701,other
admin2_zone_Hareri,0.0005724398,0.0005724398,zone
admin1_region_Central Ethiopia,0.00018610059,0.00018610059,region
dry_season_flag,9.327228e-05,9.327228e-05,lagged_outbreak_signal
case_based_records,1.0525835e-05,1.0525835e-05,other
admin2_zone_Bahir Dar town,0.0,0.0,zone
admin2_zone_Bahir Dar City,0.0,0.0,zone
ipc_phase3plus_real_flag,0.0,0.0,lagged_outbreak_signal
admin2_zone_Amir Nur,0.0,0.0,zone
admin2_zone_Ambo town,0.0,0.0,zone
admin2_zone_Central Tigray,0.0,0.0,zone
admin2_zone_Central Sidama,0.0,0.0,zone
admin2_zone_Central Gondar,0.0,0.0,zone
admin2_zone_Central,0.0,0.0,zone
admin2_zone_Asosa,0.0,0.0,zone
admin2_zone_Awi,0.0,0.0,zone
ipc_phase3plus_pct_population_mid,0.0,0.0,population
ipc_phase3plus_pct_population_available_flag,0.0,0.0,lagged_outbreak_signal
admin2_zone_ARADA,0.0,0.0,zone
admin2_zone_AWI,0.0,0.0,zone
admin1_region_Sidama,0.0,0.0,region
admin2_zone_Asela town,0.0,0.0,zone
admin2_zone_Asela Town,0.0,0.0,zone
admin2_zone_Arada,0.0,0.0,zone
admin2_zone_Dukem Town,0.0,0.0,zone
admin2_zone_E Harerghe,0.0,0.0,zone
admin2_zone_Bench Sheko,0.0,0.0,zone
admin2_zone_Batu Town,0.0,0.0,zone
admin2_zone_Abadir,0.0,0.0,zone
admin2_zone_Aboker,0.0,0.0,zone
admin2_zone_Addis Ketema,0.0,0.0,zone
admin2_zone_Adama Town,0.0,0.0,zone
admin2_zone_Afar 3,0.0,0.0,zone
admin2_zone_Afar 4,0.0,0.0,zone
admin2_zone_Afar 1,0.0,0.0,zone
admin2_zone_Afar 2,0.0,0.0,zone
admin2_zone_Agaro town,0.0,0.0,zone
admin2_zone_Agnua,0.0,0.0,zone
ipc_phase3plus_imputed_flag,0.0,0.0,lagged_outbreak_signal
admin2_zone_W Tigray,0.0,0.0,zone
admin2_zone_Akaki Kality,0.0,0.0,zone
admin2_zone_Ambo Town,0.0,0.0,zone
admin2_zone_Waghimra,0.0,0.0,zone
admin2_zone_WTSH,0.0,0.0,zone
admin2_zone_Wahil,0.0,0.0,zone
admin2_zone_Weliso Town,0.0,0.0,zone
other_final_classification_records,0.0,0.0,other
admin2_zone_Wag Himra,0.0,0.0,zone
admin2_zone_West Gojjam,0.0,0.0,zone
admin2_zone_West Arsi,0.0,0.0,zone
admin2_zone_West Harerghe,0.0,0.0,zone
admin1_region_Dire Dawa,0.0,0.0,region
admin1_region_Gambella,0.0,0.0,region
admin1_region_Afar,0.0,0.0,region
admin2_zone_West Gonder,0.0,0.0,zone
admin2_zone_West Shoa,0.0,0.0,zone
admin2_zone_East Bale,0.0,0.0,zone
admin2_zone_East Gojjam,0.0,0.0,zone
target_outbreak_lag_1,0.0,0.0,lagged_outbreak_signal
admin2_zone_Erer,0.0,0.0,zone
admin2_zone_Eastern,0.0,0.0,zone
admin2_zone_Eastern Sidama,0.0,0.0,zone
admin2_zone_Eastern Tigray,0.0,0.0,zone
admin2_zone_East Shoa,0.0,0.0,zone
admin2_zone_Debretabor City,0.0,0.0,zone
admin2_zone_Dechatu,0.0,0.0,zone
admin2_zone_Debre Tabor town,0.0,0.0,zone
admin2_zone_Debre Markos Town,0.0,0.0,zone
admin2_zone_Dawro,0.0,0.0,zone
admin2_zone_Debre Berhan town,0.0,0.0,zone
admin2_zone_Fafan,0.0,0.0,zone
admin2_zone_Erer (H),0.0,0.0,zone
admin2_zone_Dessie town,0.0,0.0,zone
admin2_zone_Dire Dawa,0.0,0.0,zone
admin2_zone_Derashe Special Woreda,0.0,0.0,zone
admin2_zone_Dessie City,0.0,0.0,zone
admin2_zone_Dire Teyara,0.0,0.0,zone
admin2_zone_Dollo,0.0,0.0,zone
admin2_zone_Burji Special Woreda,0.0,0.0,zone
admin2_zone_Burji,0.0,0.0,zone
admin2_zone_Burayu Town,0.0,0.0,zone
admin2_zone_Bule Hora Town,0.0,0.0,zone
admin2_zone_Borena,0.0,0.0,zone
admin2_zone_Biyoawale,0.0,0.0,zone
admin2_zone_Bishoftu town,0.0,0.0,zone
admin2_zone_Bishoftu Town,0.0,0.0,zone
admin2_zone_Gardula,0.0,0.0,zone
admin2_zone_E Shoa,0.0,0.0,zone
admin2_zone_Lega tafo Town,0.0,0.0,zone
admin2_zone_Legehare,0.0,0.0,zone
admin2_zone_Lemi Kura,0.0,0.0,zone
admin2_zone_Hakim,0.0,0.0,zone
admin2_zone_Konso,0.0,0.0,zone
admin2_zone_Kombolcha town,0.0,0.0,zone
admin2_zone_Konta,0.0,0.0,zone
admin2_zone_Kore,0.0,0.0,zone
admin2_zone_Kirkos,0.0,0.0,zone
admin2_zone_Gamo,0.0,0.0,zone
admin2_zone_Gambela town,0.0,0.0,zone
admin2_zone_Gambella,0.0,0.0,zone
admin2_zone_Gondar Town,0.0,0.0,zone
admin2_zone_Gondar City,0.0,0.0,zone
admin2_zone_Gulelle,0.0,0.0,zone
admin2_zone_Hadiya,0.0,0.0,zone
admin2_zone_Jimma town,0.0,0.0,zone
admin2_zone_Jinela,0.0,0.0,zone
admin2_zone_Jimma Town,0.0,0.0,zone
admin2_zone_Jeldessa,0.0,0.0,zone
admin2_zone_Ilu Aba Bora,0.0,0.0,zone
admin2_zone_Horo Guduru,0.0,0.0,zone
admin2_zone_Jarar,0.0,0.0,zone
admin2_zone_Itang Special woreda,0.0,0.0,zone
admin2_zone_Hawassa City,0.0,0.0,zone
admin2_zone_Holeta Town,0.0,0.0,zone
admin2_zone_Halaba,0.0,0.0,zone
admin2_zone_Hawassa CA,0.0,0.0,zone
admin2_zone_Gambela Town,0.0,0.0,zone
admin2_zone_Kebena Sp woreda,0.0,0.0,zone
admin2_zone_Gende Kore,0.0,0.0,zone
admin2_zone_Gondar town,0.0,0.0,zone
admin2_zone_North West Tigray,0.0,0.0,zone
admin2_zone_North Wello,0.0,0.0,zone
admin2_zone_Northern Sidama,0.0,0.0,zone
admin2_zone_North Western,0.0,0.0,zone
admin2_zone_Lideta,0.0,0.0,zone
admin2_zone_Mareko Sp woreda,0.0,0.0,zone
admin2_zone_Mejenger,0.0,0.0,zone
admin2_zone_Maya City,0.0,0.0,zone
admin2_zone_Mekelle city,0.0,0.0,zone
admin2_zone_Melkajebdu,0.0,0.0,zone
admin2_zone_Mekelle,0.0,0.0,zone
admin2_zone_Mekelle City,0.0,0.0,zone
admin2_zone_Metekel,0.0,0.0,zone
admin2_zone_Metu Town,0.0,0.0,zone
admin2_zone_Modjo Town,0.0,0.0,zone
admin2_zone_Misrak Gurage,0.0,0.0,zone
admin2_zone_Korahe,0.0,0.0,zone
admin2_zone_Kolfe Keraniyo,0.0,0.0,zone
admin2_zone_Modjo town,0.0,0.0,zone
admin2_zone_Mojo Town,0.0,0.0,zone
admin2_zone_N Gonder,0.0,0.0,zone
admin2_zone_Kemashi,0.0,0.0,zone
admin2_zone_Kembata,0.0,0.0,zone
admin2_zone_Nekemte Town,0.0,0.0,zone
admin2_zone_Sendafa Town,0.0,0.0,zone
admin2_zone_Shashemene Town,0.0,0.0,zone
admin2_zone_Sheka,0.0,0.0,zone
admin2_zone_Shashemenne Town,0.0,0.0,zone
admin2_zone_Nifas Silk Lafto,0.0,0.0,zone
admin2_zone_N Wello,0.0,0.0,zone
admin2_zone_North Gojjam,0.0,0.0,zone
admin2_zone_Nogob,0.0,0.0,zone
admin2_zone_South Wello,0.0,0.0,zone
admin2_zone_South Tigray,0.0,0.0,zone
admin2_zone_Southern Sidama,0.0,0.0,zone
admin2_zone_South West Shoa,0.0,0.0,zone
admin2_zone_SE Tigray,0.0,0.0,zone
admin2_zone_S Tigray,0.0,0.0,zone
admin2_zone_Robe Town,0.0,0.0,zone
admin2_zone_Nuer,0.0,0.0,zone
admin2_zone_Sabian,0.0,0.0,zone
admin2_zone_Nedjo Town,0.0,0.0,zone
coverage_real_flag,0.0,0.0,lagged_outbreak_signal
coverage_imputed_flag,0.0,0.0,lagged_outbreak_signal
admin2_zone_Tembaro Sp woreda,0.0,0.0,zone
admin2_zone_South Eastern,0.0,0.0,zone
admin2_zone_W Gonder,0.0,0.0,zone
admin2_zone_Tenbaro Sp woreda,0.0,0.0,zone
admin2_zone_Sofi,0.0,0.0,zone
mcv2_gap_to_95,0.0,0.0,other
mcv1_gap_to_95,0.0,0.0,other
admin2_zone_South East Tigray,0.0,0.0,zone
effective_immunity_gap_real_national,0.0,0.0,other
admin2_zone_Sululta Town,0.0,0.0,zone
admin2_zone_Shenkor,0.0,0.0,zone
admin2_zone_Sheno Town,0.0,0.0,zone
admin2_zone_Western Tigray,0.0,0.0,zone
admin2_zone_Wolayta,0.0,0.0,zone
admin2_zone_Woldia Town,0.0,0.0,zone
admin2_zone_Woliso town,0.0,0.0,zone
admin2_zone_YEKA,0.0,0.0,zone
compatible_cases,0.0,0.0,other
admin2_zone_Yem,0.0,0.0,zone
case_fatality_ratio,0.0,0.0,other
